abbrev	abstractCompound	charge	creationDate	deltaG	deltaGErr	formula	id	mass	modificationDate	name	owner	pKa	pKb	public	scope	stringcode	structuralCues
Chlornaphazine		0	1280902482	48.891	2.62139	C14H15NCl2	cpd15150	267	1280902482	Chlornaphazine	master			1		CH(CH(CH(C(CH(C(N(CH2(CH2(Cl))CH2(CH2(Cl)))CH(CH(C(CH{1}){9})))))<9>)))<1>	BWCHdblW:7|BBTCdblW:2|BWWCdblW:1|WWNW:1|WCH2W:4|WClPrim:2|Origin:1
Dihydrozeatin riboside		0	1280902482	-72.1	3.11014	C15H23N5O5	cpd15151	353	1280902482	Dihydrozeatin riboside	master			1		CH(CH(OHCH(OHCH(CH2(OH)O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH2(CH(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:4|WNHW:1|WCH2W:4|WWCHW:1|WCH3:1|Origin:1|HeteroAromatic:2
Dihydrozeatin-O-glucoside		0	1280902482	-106.38	3.18774	C16H25N5O6	cpd15152	383	1280902482	Dihydrozeatin-O-glucoside	master			1		CH2(CH2(NH(C(C(C(NH(CH(N{12}))N(CH(N{14}))))<12>)<14>))CH(CH3CH2(O(CH(CH(OHCH(OHCH(OHCH(CH2(OH)O{4})))))<4>))))	RWCHWW:5|RWOW:1|PrimOH:4|WCH2W:4|TWWCdblW:2|RWCdblWW:1|RWdblNW:3|RWNHW:1|WNHW:1|RWCHdblW:2|WWCHW:1|WCH3:1|WOW:1|Origin:1|HeteroAromatic:2
cis-Zeatin riboside		0	1280902482	-50.3	3.132	C15H21N5O5	cpd15153	351	1280902482	cis-Zeatin riboside	master			1		CH(CH(OHCH(OHCH(CH2(OH)O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWOW:1|RWCHWW:4|RWdblNW:3|RWCHdblW:2|TWWCdblW:2|RWCdblWW:1|RWWNW:1|WNHW:1|WCH2W:3|WCHdblW:1|WdblCWW:1|WCH3:1|PrimOH:4|Origin:1|HeteroAromatic:2
1,3-Butadiene		0	1280902482	38.2	1.24395	C4H6	cpd15154	54	1280902482	1,3-Butadiene	master			1		(CH(CH2)CH(CH2))	WdblCH2:2|WCHdblW:2|Origin:1|CCCC:1|Hydrocarbon:1
Coal-tar pitches		10000000	1280902482	10000000	10000000		cpd15155	0	1280902482	Coal-tar pitches	master			1			
NNN		0	1280902482	10000000	10000000	C9H11N3O	cpd15156	177	1280902482	NNN	master			1		CH2(CH2(CH(C(CH(CH(CH(N(CH{9})))))<9>N(N(O)CH2{1}))))<1>	RWCHdblW:4|RWdblNW:1|RWCdblWW:1|RWCHWW:1|RWWNW:1|RWCH2W:3|WNdblW:1|NoGroup:1|Origin:1|HeteroAromatic:1
NNK (carcinogen)		0	1280902482	10000000	10000000	C10H13N3O2	cpd15157	207	1280902482	NNK (carcinogen)	master			1		CH(CH(C(C(OCH2(CH2(CH2(N(N(O)CH3)))))CH(N(CH{1})))))<1>	RWdblNW:1|RWCHdblW:4|RWCdblWW:1|WketoneW:1|WCH2W:3|WWNW:1|WCH3:1|WNdblW:1|NoGroup:1|Origin:1|OCCC:1|HeteroAromatic:1
Radon-222		0	1280902482	10000000	10000000	Rn	cpd15158	1	1280902482	Radon-222	master			1		Rn	Rn:1
Radium-224		0	1280902482	10000000	10000000	Ra	cpd15159	1	1280902482	Radium-224	master			1		Ra	Ra:1
Radium-226		-2	1280902482	10000000	10000000	Ra	cpd15160	1	1280902482	Radium-226	master			1		RaH2	Ra2-:1
Radium-228		-2	1280902482	10000000	10000000	Ra	cpd15161	1	1280902482	Radium-228	master			1		RaH2	Ra2-:1
Shale oils		10000000	1280902482	10000000	10000000		cpd15162	0	1280902482	Shale oils	master			1			
Quartz		0	1280902482	10000000	10000000	O2Si	cpd15163	60	1280902482	Quartz	master			1		Si(OO)	NoGroup:3|Origin:1
Beryllium		0	1280902482	10000000	10000000	Be	cpd15164	1	1280902482	Beryllium	master			1		Be	Be:1
Geranic acid		-1	1280902482	-35.36	1.03096	C10H15O2	cpd15165	167	1280902482	Geranic acid	master			1		CH2(CH2(CH(C(CH3CH3)))C(CH3CH(C(OHO))))	WCH3:3|WdblCWW:2|WCHdblW:2|WCH2W:2|WCOOn:1|Origin:1|OCCC:1
Citronellate		-1	1280902482	-55.61	0.652563	C10H17O2	cpd15166	169	1280902482	Citronellate	master			1		CH2(CH2(CH(C(CH3CH3)))CH(CH3CH2(C(OHO))))	WWCHW:1|WCH2W:3|WCH3:3|WCOOn:1|WCHdblW:1|WdblCWW:1|Origin:1
cdiGMP		-2	1280902482	10000000	10000000	C20H22N10O14P2	cpd15167	688	1280902482	cdiGMP	master			1		CH2(CH(CH(CH(OHCH(N(CH(N(C(C(N(C(NH2NH(C(O){13})))){23})<13>)))<23>O{3}))O(P(OHOO(CH2(CH(CH(CH(OHCH(N(CH(N(C(C(N(C(NH2NH(C(O){14})))){24})<14>)))<24>O{4}))O(P(OHOO{1}))))<4>))))))<3>)<1>	TWWCdblW:4|RWWNW:2|RWdblNW:4|RWCHWW:4|RWCHdblW:2|RWWCdblO:2|RWCdblWW:2|RWOW:2|WNH2:2|NoGroup:22|PrimOH:2|WOneg:2|amide:2|RWNHW:2|Origin:1|OCCC:2|CCNC:2|HeteroAromatic:2
Citronellyl-CoA		-3	1280902482	-754.69	3.6487	C31H49N7O17P3S	cpd15168	916	1280902482	Citronellyl-CoA	master			1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH2(CH(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:9|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:2|WCH3:5|WketoneW:3|WCHdblW:1|WdblCWW:1|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|HeteroAromatic:2
trans-Geranyl-CoA		-3	1280902482	-734.44	3.71628	C31H47N7O17P3S	cpd15169	914	1280902482	trans-Geranyl-CoA	master			1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH(C(CH3CH2(CH2(CH(C(CH3CH3))))))))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:8|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:5|WketoneW:3|WdblCWW:2|WCHdblW:2|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|OCCC:1|HeteroAromatic:2
7-Methyl-3-oxo-6-octenoyl-CoA		-3	1280902482	-784.52	3.6555	C30H45N7O18P3S	cpd15170	916	1280902482	7-Methyl-3-oxo-6-octenoyl-CoA	master			1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH2(C(OCH2(CH2(CH(C(CH3CH3))))))))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:9|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:4|WketoneW:4|WCHdblW:1|WdblCWW:1|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|HeteroAromatic:2
cis-Prenyl-tRNA		10000000	1280902482	10000000	10000000		cpd15171	0	1280902482	cis-Prenyl-tRNA	master			1			
(2E)-5-Methylhexa-2,4-dienoyl-CoA		-3	1280902482	-741.75	3.67296	C28H41N7O17P3S	cpd15172	872	1280902482	(2E)-5-Methylhexa-2,4-dienoyl-CoA	master			1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH(CH(CH(C(CH3CH3))))))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:6|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:4|WketoneW:3|WCHdblW:3|WdblCWW:1|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|OCCC:1|CCCC:1|HeteroAromatic:2
3-Hydroxy-5-methylhex-4-enoyl-CoA		-3	1280902482	-795.78	3.61093	C28H43N7O18P3S	cpd15173	890	1280902482	3-Hydroxy-5-methylhex-4-enoyl-CoA	master			1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH2(CH(OHCH(C(CH3CH3))))))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:3|RWCdblWW:1|WCH2W:7|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:2|WCH3:4|WketoneW:3|WCHdblW:1|WdblCWW:1|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|HeteroAromatic:2
5-Methylhex-4-enoyl-CoA		-3	1280902482	-757.74	3.60622	C28H43N7O17P3S	cpd15174	874	1280902482	5-Methylhex-4-enoyl-CoA	master			1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH2(CH2(CH(C(CH3CH3))))))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:8|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:4|WketoneW:3|WCHdblW:1|WdblCWW:1|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|HeteroAromatic:2
