abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
rxn11697		cpd00005 + cpd00007 + cpd00065 <=> cpd00001 + cpd00006 + cpd00011 + cpd03466	1281967960	TPNH + O2 + Tryptophan <=> H2O + TPN + CO2 + H+ + Indole-3-acetaldoxime	-95.9967	3.46096	|1.14.13.-	cpd00005 + cpd00007 + cpd00065 <=> cpd00001 + cpd00006 + cpd00011 + cpd00067 + cpd03466	rxn11697	1281967960	rxn11697	master	1	=>		CI:2	|RWWNW:-1|RWCHdblW:1|PrimOH:1|RWCH2W:-1|HeteroAromatic:1|O2:-1|WWCHW:-1|WCOOn:-1|WNH3:-1|H2O:1|WRdNWRW:1|CO2:1|H:1|WCHdblW:1|WNdblW:1	=>	
rxn11698		cpd00007 + cpd11476 + cpd11610 <=> cpd00001 + cpd11609 + cpd16235	1281967961	O2 + hexadecanoyl-acp + AH2 <=> H2O + A + hexadecenoyl-[acyl-carrier protein]	10000000	10000000	|1.14.19.2	cpd00007 + cpd11476 + cpd11610 <=> cpd00001 + cpd11609 + cpd16235	rxn11698	1281967961	rxn11698	master	1	<=>		MI:O-8/C-11/N-1/P-1/R1|CI:1|HI:20	|O2:-1|WCH2W:-7|WPO4nW:-1|WWCWW:-1|WWCHW:-1|WCH3:-2|WketoneW:-2|PrimOH:-1|RW:1|amide:-2|WNHW:-2|Origin:1|H2O:1|WNH2:1|WCHdblW:2	<=>	
rxn11699		cpd00001 + cpd16235 <=> cpd05274 + cpd11493	1281967961	H2O + hexadecenoyl-[acyl-carrier protein] <=> Palmitoleic acid + ACP	-323.127	1.88759	|3.1.2.-|3.1.2.14	cpd00001 + cpd16235 <=> cpd05274 + cpd11493	rxn11699	1281967961	rxn11699	master	1	=>		MI:O7/C11/N2/P1|CI:-2|HI:-19	|H2O:-1|WCH2W:5|WketoneW:1|WCH3:2|WSW:-1|smide:-1|Origin:1|WCOOn:1|WPO4nW:1|WWCWW:1|WWCHW:1|PrimOH:1|WSH:1|amide:2|WNHW:2	=>	
rxn11700		cpd00001 + cpd12458 <=> cpd01080 + cpd11493	1281967961	H2O + Stearoyl-[acyl-carrier protein] <=> Stearate + ACP	-323.127	1.88759	|3.1.2.14	cpd00001 + cpd12458 <=> cpd01080 + cpd11493	rxn11700	1281967961	rxn11700	master	1	=>		MI:O7/C11/N2/P1|CI:-2|HI:-19	|H2O:-1|WCH2W:5|WCH3:2|WketoneW:1|WSW:-1|smide:-1|Origin:1|WCOOn:1|WPO4nW:1|WWCWW:1|WWCHW:1|PrimOH:1|WSH:1|amide:2|WNHW:2	=>	
S-beta-D-glucosyltransferase		cpd00026 + cpd16332 <=> cpd00014 + cpd16333	1281967961	UDPglucose + Indolylmethylthiohydroximate <=> UDP + Indolylmethyl-desulfoglucosinolate	-10.486	1.08131	|2.4.1.195	cpd00026 + cpd16332 <=> cpd00014 + cpd16333	rxn11701	1281967961	UDP-glucose:N-hydroxy-2-phenylethanethioamide	master	1	<=>		OK	|WPO4nW:-1|WSH:-1|prim_phos:1|WSW:1	=>	
synthase		cpd00024 + cpd00658 <=> cpd00011 + cpd16335	1281967961	2-Oxoglutarate + H+ + Isochorismate <=> CO2 + 2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	-6.2	0.965654	|2.2.1.9	cpd00024 + cpd00067 + cpd00658 <=> cpd00011 + cpd16335	rxn11702	1281967961	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	master	1	=>		OK	|WCOOn:-1|Origin:-1|OCCO:-1|H:-1|RWCHWW:2|RWCHdblW:-1|RWCdblWW:-1|OCCC:-1|CCCC:-1|CO2:1	=>	
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase		cpd16335 <=> cpd00020 + cpd03451	1281967961	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate <=> Pyruvate + SHCHC	-23.3	1.03725	|4.2.99.20	cpd16335 <=> cpd00020 + cpd03451	rxn11703	1281967961	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	master	1	=>		OK	|RWCHWW:-2|WOW:-1|RWCHdblW:1|WdblCWW:-1|WdblCH2:-1|WketoneW:1|Origin:1|WCH3:1|OCCO:1|RWCdblWW:1|CCCC:1	=>	
rxn11704		cpd00044 + cpd16333 <=> cpd00045 + cpd03467	1281967961	PAPS + Indolylmethyl-desulfoglucosinolate <=> PAP + Glucobrassicin	-4.5	0.23673	|2.8.2.-	cpd00044 + cpd16333 <=> cpd00045 + cpd03467	rxn11704	1281967961	rxn11704	master	1	<=>		OK	|PrimOH:-1|prim_phos:1|mid_phos:-1	<=>	
rxn11705		cpd03466 <=> cpd16334	1281967961	Indole-3-acetaldoxime <=> S-(Indolylmethylthiohydroximoyl)-L-cysteine	-70.98	0.918289		cpd03466 <=> cpd16334	rxn11705	1281967961	rxn11705	master	1	=>		MI:C3/N1/O2/S1|HI:-5	|WCH2W:1|WCHdblW:-1|WdblCWW:1|WSW:1|WWCHW:1|WNH3:1|WCOOn:1	=>	
rxn11706		cpd16334 <=> cpd16333	1281967961	S-(Indolylmethylthiohydroximoyl)-L-cysteine <=> Indolylmethyl-desulfoglucosinolate	-94.13	1.51926	|4.4.1.-	cpd16334 <=> cpd16333	rxn11706	1281967961	rxn11706	master	1	=>		MI:C3/N-1/O3|HI:-5	|PrimOH:4|WWCHW:-1|WNH3:-1|WCOOn:-1|RWCHWW:5|RWOW:1	=>	
rxn11707		cpd16339 <=> cpd04580	1281967961	3'-N-Debenzoyltaxol <=> Paclitaxel	4.1	1.05679	|2.3.1.-	cpd16339 <=> cpd04580	rxn11707	1281967961	rxn11707	master	1	<=>		MI:C7/O1|CI:-1|HI:-3	|BWWCdblW:1|WNH3:-1|BWCHdblW:5|OCCC:1|WketoneW:1|amide:1|WNHW:1	<=>	
rxn11708		cpd08698 <=> cpd16338	1281967961	Baccatin III <=> 3'-N-Debenzoyl-2'-deoxytaxol	-1.75	0.930356		cpd08698 <=> cpd16338	rxn11708	1281967961	rxn11708	master	1	<=>		MI:C9/O1/N1|CI:1|HI:-10	|WOCOW:1|PrimOH:-1|BWWCdblW:1|BWCHdblW:5|WCH2W:1|WWCHW:1|WNH3:1	<=>	
rxn11709		cpd16338 <=> cpd16339	1281967961	3'-N-Debenzoyl-2'-deoxytaxol <=> 3'-N-Debenzoyltaxol	-38.04	0.216781		cpd16338 <=> cpd16339	rxn11709	1281967961	rxn11709	master	1	=>		MI:O1	|PrimOH:1|WCH2W:-1|WWCHW:1	=>	
Icosanoyl-CoA hydrolase		cpd00001 + cpd01393 <=> cpd00010 + cpd03848	1281967961	H2O + Icosanoyl-CoA <=> CoA + H+ + Icosanoic acid	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd01393 <=> cpd00010 + cpd00067 + cpd03848	rxn11710	1281967961	Icosanoyl-CoA hydrolase	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
Oleoyl-CoA hydrolase		cpd00001 + cpd00399 <=> cpd00010 + cpd00536	1281967961	H2O + Oleoyl-CoA <=> CoA + H+ + Oleate	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd00399 <=> cpd00010 + cpd00067 + cpd00536	rxn11711	1281967961	Oleoyl-CoA hydrolase	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
Linoleoyl-CoA hydrolase		cpd00001 + cpd01398 <=> cpd00010 + cpd01122	1281967961	H2O + Linoleoyl-CoA <=> CoA + H+ + Linoleate	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd01398 <=> cpd00010 + cpd00067 + cpd01122	rxn11712	1281967961	Linoleoyl-CoA hydrolase	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11713		cpd00001 + cpd14883 <=> cpd00010 + cpd03850	1281967961	H2O + alpha-Linolenoyl-CoA <=> CoA + H+ + Linolenate	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd14883 <=> cpd00010 + cpd00067 + cpd03850	rxn11713	1281967961	rxn11713	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11714		cpd00001 + cpd14886 <=> cpd00010 + cpd03851	1281967961	H2O + (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA <=> CoA + H+ + Eicosapentaenoic acid	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd14886 <=> cpd00010 + cpd00067 + cpd03851	rxn11714	1281967961	rxn11714	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11715		cpd00001 + cpd14890 <=> cpd00010 + cpd03852	1281967961	H2O + (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA <=> CoA + H+ + Docosahexaenoic acid	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd14890 <=> cpd00010 + cpd00067 + cpd03852	rxn11715	1281967961	rxn11715	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11716		cpd00001 + cpd01942 <=> cpd00010 + cpd03849	1281967961	H2O + gamma-Linolenoyl-CoA <=> CoA + H+ + Gamolenic acid	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd01942 <=> cpd00010 + cpd00067 + cpd03849	rxn11716	1281967961	rxn11716	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11717		cpd00001 + cpd02263 <=> cpd00010 + cpd02077	1281967961	H2O + 8,11,14-Icosatrienoyl-CoA <=> CoA + H+ + 8,11,14-Icosatrienoate	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd02263 <=> cpd00010 + cpd00067 + cpd02077	rxn11717	1281967961	rxn11717	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11718		cpd00001 + cpd01519 <=> cpd00010 + cpd00188	1281967961	H2O + Arachidonyl-CoA <=> CoA + H+ + Arachidonate	-5.757	1.20727	|3.1.2.2	cpd00001 + cpd01519 <=> cpd00010 + cpd00067 + cpd00188	rxn11718	1281967961	rxn11718	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11719		cpd00001 + cpd16343 <=> cpd00010 + cpd05196	1281967961	H2O + Behenoyl-CoA <=> CoA + H+ + Docosanoate	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd16343 <=> cpd00010 + cpd00067 + cpd05196	rxn11719	1281967961	rxn11719	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
PTE12x		cpd00001 + cpd15297 <=> cpd00010 + cpd05235	1281967961	H2O + Lignoceroyl-CoA <=> CoA + H+ + tetracosanoate	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd15297 <=> cpd00010 + cpd00067 + cpd05235	rxn11720	1281967961	rxn11720	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11721		cpd00001 + cpd16344 <=> cpd00010 + cpd16341	1281967961	H2O + Icosenoyl-CoA <=> CoA + H+ + Icosenoic acid	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd16344 <=> cpd00010 + cpd00067 + cpd16341	rxn11721	1281967961	rxn11721	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11722		cpd00001 + cpd16345 <=> cpd00010 + cpd05231	1281967961	H2O + Docosenoyl-CoA <=> CoA + H+ + Erucic acid	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd16345 <=> cpd00010 + cpd00067 + cpd05231	rxn11722	1281967961	rxn11722	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11723		cpd00001 + cpd16346 <=> cpd00010 + cpd05238	1281967961	H2O + Nervonoyl-CoA <=> CoA + H+ + Nervonic acid	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd16346 <=> cpd00010 + cpd00067 + cpd05238	rxn11723	1281967961	rxn11723	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11724		cpd00001 + cpd14887 <=> cpd00010 + cpd16301	1281967961	H2O + (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA <=> CoA + H+ + Docosapentaenoic acid	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd14887 <=> cpd00010 + cpd00067 + cpd16301	rxn11724	1281967961	rxn11724	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11725		cpd00001 + cpd14900 <=> cpd00010 + cpd16340	1281967961	H2O + (11Z,14Z)-Icosadienoyl-CoA <=> CoA + H+ + Icosadienoic acid	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd14900 <=> cpd00010 + cpd00067 + cpd16340	rxn11725	1281967961	rxn11725	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11726		cpd00001 + cpd14891 <=> cpd00010 + cpd16342	1281967961	H2O + (7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA <=> CoA + H+ + Adrenic acid	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd14891 <=> cpd00010 + cpd00067 + cpd16342	rxn11726	1281967961	rxn11726	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
rxn11727		cpd00001 + cpd14899 <=> cpd00010 + cpd16337	1281967961	H2O + (11Z,14Z,17Z)-Icosatrienoyl-CoA <=> CoA + H+ + ETA	-5.757	1.20727	|3.1.2.-	cpd00001 + cpd14899 <=> cpd00010 + cpd00067 + cpd16337	rxn11727	1281967961	rxn11727	master	1	=>		OK	|H2O:-1|WketoneW:-1|WSW:-1|smide:-1|Origin:1|WSH:1|H:1|WCOOn:1	=>	
1,5-anhydro-D-mannitol:NADP+ oxidoreductase		cpd00006 + cpd16352 <=> cpd00005 + cpd03896	1281967961	TPN + 1,5-Anhydro-D-mannitol <=> TPNH + H+ + 1,5-Anhydro-D-fructose	2.3	1.11438	|1.1.1.292	cpd00006 + cpd16352 <=> cpd00005 + cpd00067 + cpd03896	rxn11728	1281967961	1,5-anhydro-D-mannitol:NADP+ oxidoreductase	master	1	<=>		OK	|RWCHWW:-1|RWWNW:1|RWCHdblW:-1|PrimOH:-1|WRdNWRW:-1|HeteroAromatic:-1|RWCH2W:1|H:1|RWWCdblO:1	<=>	
D-threonine acetaldehyde-lyase (glycine-forming)		cpd00611 <=> cpd00033 + cpd00071	1281967961	D-Threonine <=> Gly + AALD	3.21	0.615712	|4.1.2.42	cpd00611 <=> cpd00033 + cpd00071	rxn11729	1281967961	D-threonine acetaldehyde-lyase (glycine-forming)	master	1	<=>		OK	|WWCHW:-2|WCH3:-1|PrimOH:-1|WCH2W:1|acetaldehyde:1	<=>	
rxn11730		cpd09088 <=> cpd00033 + cpd00071	1281967961	D-Allothreonine <=> Gly + AALD	3.21	0.615712	|4.1.2.42	cpd09088 <=> cpd00033 + cpd00071	rxn11730	1281967961	rxn11730	master	1	<=>		OK	|WWCHW:-2|WCH3:-1|PrimOH:-1|WCH2W:1|acetaldehyde:1	<=>	
L-arginine:pyruvate aminotransferase		cpd00020 + cpd00051 <=> cpd00035 + cpd02364	1281967961	Pyruvate + Arginine <=> ALA + 5-Guanidino-2-oxopentanoate	0	2	|2.6.1.84	cpd00020 + cpd00051 <=> cpd00035 + cpd02364	rxn11731	1281967961	L-arginine:pyruvate aminotransferase	master	1	<=>		OK		<=>	
rxn11732		cpd00003 + cpd01709 <=> cpd00004 + cpd00024	1281967961	NAD + 2-Hydroxyglutarate <=> NADH + 2-Oxoglutarate + H+	6.22	1.09509	|1.1.1.95	cpd00003 + cpd01709 <=> cpd00004 + cpd00024 + cpd00067	rxn11732	1281967961	rxn11732	master	1	<=>		OK	|PrimOH:-1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|HeteroAromatic:-1|WWCHW:-1|RWCH2W:1|OCCO:1|H:1	<=>	
dimethylallyl-diphosphate diphosphate-lyase (isoprene-forming)		cpd00202 <=> cpd00012 + cpd16336	1281967961	DMAPP <=> PPi + Isoprene	-4.3	1.27394	|4.2.3.27	cpd00202 <=> cpd00012 + cpd16336	rxn11733	1281967961	Biomass	master	1	=>		OK	|mid_phos:-1|prim_phos:-1|WCH2W:-1|WCH3:-1|pyrophos:1|WdblCH2:2|CCCC:1|Hydrocarbon:1	=>	
rxn11734		cpd00001 + cpd01807 <=> cpd00009 + cpd00020	1281967961	H2O + 3-Phosphonopyruvate <=> Phosphate + Pyruvate	-5.557	0.844506	|3.11.1.3	cpd00001 + cpd01807 <=> cpd00009 + cpd00020	rxn11734	1281967961	rxn11734	master	1	=>		OK	|H2O:-1|WPO3:-1|WCH2W:-1|orthophosphate:1|WCH3:1	=>	
rxn11735		cpd00002 + cpd00024 + cpd00242 <=> cpd00008 + cpd00009 + cpd03187	1281967961	ATP + 2-Oxoglutarate + HCO3- <=> ADP + Phosphate + H+ + Oxalosuccinate	-2.884	0.74721	|6.4.1.7	cpd00002 + cpd00024 + cpd00242 <=> cpd00008 + cpd00009 + cpd00067 + cpd03187	rxn11735	1281967961	rxn11735	master	1	=>		OK	|WCH2W:-1|mid_phos:-1|WCOOn:1|HCO3:-1|orthophosphate:1|H:1|WWCHW:1	=>	
rxn11737		cpd00005 + cpd00007 + cpd01449 <=> cpd00001 + cpd00006 + cpd16354	1281967961	TPNH + O2 + H+ + Chlorophyllide <=> H2O + TPN + 7-Hydroxychlorophyllide a	10000000	10000000	|1.13.12.14	cpd00005 + cpd00007 + cpd00067 + cpd01449 <=> cpd00001 + cpd00006 + cpd16354	rxn11737	1281967961	rxn11737	master	1	<=>		OK		<=>	
rxn11738		cpd00005 + cpd00007 + cpd16354 <=> (2) cpd00001 + cpd00006 + cpd16355	1281967961	TPNH + O2 + H+ + 7-Hydroxychlorophyllide a <=> 2 H2O + TPN + Chlorophyllide b	10000000	1.54107	|1.13.12.14	cpd00005 + cpd00007 + cpd00067 + cpd16354 <=> (2) cpd00001 + cpd00006 + cpd16355	rxn11738	1281967961	rxn11738	master	1	<=>		OK		<=>	
rxn11739		cpd00005 + cpd00007 + cpd00237 <=> cpd00001 + cpd00006 + cpd02850	1281967961	TPNH + O2 + H+ + Androstenedione <=> H2O + TPN + Testololactone	-97.2467	1.51614	|1.14.13.54	cpd00005 + cpd00007 + cpd00067 + cpd00237 <=> cpd00001 + cpd00006 + cpd02850	rxn11739	1281967961	rxn11739	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|RWWCdblO:-1|H2O:1|WRdNWRW:1|RWOCOW:1	=>	
rxn11740		cpd00005 + cpd00007 + cpd00866 <=> cpd00001 + cpd00006 + cpd00029 + cpd00237	1281967961	TPNH + O2 + 17alpha-Hydroxyprogesterone <=> H2O + TPN + ACET + Androstenedione	-117.887	1.47169	|1.14.13.54	cpd00005 + cpd00007 + cpd00866 <=> cpd00001 + cpd00006 + cpd00029 + cpd00237	rxn11740	1281967961	rxn11740	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:-1|RWCH2W:-1|WketoneW:-1|HeteroAromatic:1|O2:-1|RWWCWW:-1|WCH3:-1|RWWCdblO:1|H2O:1|WRdNWRW:1|acetate:1	=>	
rxn11741		cpd00005 + cpd00007 + cpd06171 <=> (2) cpd00001 + cpd00006 + cpd00178 + cpd06200	1281967961	TPNH + O2 + H+ + Marmesin <=> 2 H2O + TPN + Acetone + Ficusin	-102.924	2.00187	|1.14.13.102	cpd00005 + cpd00007 + cpd00067 + cpd06171 <=> (2) cpd00001 + cpd00006 + cpd00178 + cpd06200	rxn11741	1281967961	rxn11741	master	1	=>		OK	|RWCHWW:-1|RWWNW:-1|RWCHdblW:3|PrimOH:-1|RWCH2W:-2|HeteroAromatic:2|O2:-1|H:-1|WWCWW:-1|WCH3:-2|H2O:2|WRdNWRW:1|acetone:1	=>	
rxn11742		(2) cpd00006 + cpd00233 <=> (2) cpd00005 + cpd02315	1281967961	2 TPN + Tetrahydrobiopterin <=> 2 TPNH + 2 H+ + 6-Pyruvoyltetrahydropterin	9.98	2.16713	|1.1.1.153	(2) cpd00006 + cpd00233 <=> (2) cpd00005 + (2) cpd00067 + cpd02315	rxn11742	1281967961	rxn11742	master	1	<=>		OK	|RWWNW:2|RWCHdblW:-2|PrimOH:-2|WRdNWRW:-2|WketoneW:2|HeteroAromatic:-2|RWCH2W:2|WWCHW:-2|H:2|OCCO:1	<=>	
betaine aldehyde:oxygen oxidoreductase		cpd00001 + cpd00007 + cpd00447 <=> cpd00025 + cpd00540	1281967961	H2O + O2 + Betaine aldehyde <=> H2O2 + H+ + BET	-41.5127	0.888379	|1.1.3.17	cpd00001 + cpd00007 + cpd00447 <=> cpd00025 + cpd00067 + cpd00540	rxn11743	1281967961	betaine aldehyde:oxygen oxidoreductase	master	1	=>		OK	|H2O:-1|O2:-1|WCHdblO:-1|H2O2:1|H:1|WCOOn:1	=>	
choline oxidase		cpd00001 + (2) cpd00007 + cpd00098 <=> (2) cpd00025 + cpd00540	1281967961	H2O + 2 O2 + Choline <=> 2 H2O2 + H+ + BET	-68.0024	1.51192	|1.1.3.17	cpd00001 + (2) cpd00007 + cpd00098 <=> (2) cpd00025 + cpd00067 + cpd00540	rxn11744	1281967961	choline oxidase	master	1	=>		OK	|H2O:-1|O2:-2|WCH2W:-1|PrimOH:-1|H2O2:2|H:1|WCOOn:1	=>	
(decarboxylating)		cpd00003 + cpd16403 <=> cpd00004 + cpd00011 + cpd16397	1281967961	NAD + 1-Hydroxypentane-1,2,5-tricarboxylate <=> NADH + CO2 + 2-Oxopimelate	3.13	1.24076		cpd00003 + cpd16403 <=> cpd00004 + cpd00011 + cpd16397	rxn11745	1281967961	1-Hydroxypentane-1,2,5-tricarboxylate:NAD+ oxidoreductase	master	1	=>		OK	|PrimOH:-1|WCH2W:1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|HeteroAromatic:-1|WWCHW:-2|WCOOn:-1|RWCH2W:1|CO2:1|OCCO:1	=>	
(decarboxylating)		cpd00003 + cpd16404 <=> cpd00004 + cpd00011 + cpd16398	1281967961	NAD + 1-Hydroxyhexane-1,2,6-tricarboxylate <=> NADH + CO2 + 2-Oxosuberate	3.13	1.24076		cpd00003 + cpd16404 <=> cpd00004 + cpd00011 + cpd16398	rxn11746	1281967961	1-Hydroxyhexane-1,2,6-tricarboxylate:NAD+ oxidoreductase	master	1	=>		OK	|PrimOH:-1|WCH2W:1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|HeteroAromatic:-1|WWCHW:-2|WCOOn:-1|RWCH2W:1|CO2:1|OCCO:1	=>	
rxn11747		cpd00002 + cpd00054 + cpd16440 <=> cpd00012 + cpd00018 + cpd15565	1281967961	ATP + Serine + tRNA(Sec) <=> PPi + AMP + L-Seryl-tRNA(Sec)	10000000	0.814736	|6.1.1.11	cpd00002 + cpd00054 + cpd16440 <=> cpd00012 + cpd00018 + cpd15565	rxn11747	1281967961	rxn11747	master	1	<=>		MI:C5/N-3/O14/P2/S-1/R3|CI:-2|HI:-10		<=>	
capecitabine hydrolase		cpd09280 <=> cpd16439	1281967961	Capecitabine <=> 5'-Deoxy-5-fluorocytidine	78.31	0.899553	|3.1.1.1	cpd09280 <=> cpd16439	rxn11748	1281967961	capecitabine hydrolase	master	1	<=		MI:C-6/O-2|HI:10	|WCH3:-1|WOCOW:-1|WCH2W:-4|amide:-1|WNHW:-1|WNH2:1	<=	
5'-deoxy-5-fluorocytidine aminohydrolase		cpd00001 + cpd16439 <=> cpd00013 + cpd16329	1281967961	H2O + H+ + 5'-Deoxy-5-fluorocytidine <=> NH3 + Doxifluridine	9.157	1.41696	|3.5.4.5	cpd00001 + cpd00067 + cpd16439 <=> cpd00013 + cpd16329	rxn11749	1281967961	5'-deoxy-5-fluorocytidine aminohydrolase	master	1	<=>		OK	|H2O:-1|H:-1|RWWCdblO:1|RWdblNW:-1|RWCdblWW:-1|WNH2:-1|OCNC:-1|CCCN:-1|NH4plus:1|RWNHW:1|OCCC:1	<=	
5'-deoxy-5-fluorouridine:phosphate deoxy-alpha-D-ribosyltransferase		cpd00009 + cpd16329 <=> cpd04810 + cpd16441	1281967961	Phosphate + H+ + Doxifluridine <=> 5-FU + 5-Deoxyribose-1-phosphate	1.584	0.969017	|2.4.2.4	cpd00009 + cpd00067 + cpd16329 <=> cpd04810 + cpd16441	rxn11750	1281967961	5'-deoxy-5-fluorouridine:phosphate deoxy-alpha-D-ribosyltransferase	master	1	<=>		OK	|orthophosphate:-1|H:-1|RWNHW:1|RWWNW:-1|Origin:1|prim_phos:1	<=>	
L-seryl-tRNA(Sec) kinase		cpd00002 + cpd15565 <=> cpd00008 + cpd16442	1281967961	ATP + L-Seryl-tRNA(Sec) <=> ADP + O-Phosphoseryl-tRNA(Sec)	10000000	0.23673	|2.7.1.-	cpd00002 + cpd15565 <=> cpd00008 + cpd16442	rxn11751	1281967961	L-seryl-tRNA(Sec) kinase	master	1	<=>		MI:C-6/N2/O-16/P-3/R-3/S1|CI:3|HI:13		<=>	
O-phosphoseryl-tRNA(Sec) selenium transferase		cpd03078 + cpd16442 <=> cpd00012 + cpd15563	1281967961	3 H+ + Selenophosphate + O-Phosphoseryl-tRNA(Sec) <=> PPi + L-Selenocysteinyl-tRNA(Sec)	10000000	10000000	|2.9.1.-	(3) cpd00067 + cpd03078 + cpd16442 <=> cpd00012 + cpd15563	rxn11752	1281967961	O-phosphoseryl-tRNA(Sec) selenium transferase	master	1	<=>		MI:O16/P3/C6/N-2/S-1/R3|CI:-3|HI:-13		<=>	
rxn11753		cpd09288 <=> cpd04810	1281967961	Tegafur <=> 5-FU	6.3	1.43981	|1.14.14.1	cpd09288 <=> cpd04810	rxn11753	1281967961	rxn11753	master	1	<=		MI:C-4/O-1|HI:6	|RWCHWW:-1|RWOW:-1|RWCH2W:-3|RWNHW:1|RWWNW:-1	<=	
5,6-dihydro-5-fluorouracil:NADP+ 5-oxidoreductase		cpd00005 + cpd04810 <=> cpd00006 + cpd16434	1281967961	TPNH + H+ + 5-FU <=> TPN + 5-Fluorodihydrouracil	-20.63	1.14175	|1.3.1.2	cpd00005 + cpd00067 + cpd04810 <=> cpd00006 + cpd16434	rxn11754	1281967961	5,6-dihydro-5-fluorouracil:NADP+ 5-oxidoreductase	master	1	=>		OK	|RWCHWW:1|RWWNW:-1|RWCdblWW:-1|amide:1|OCCC:-1|HeteroAromatic:1|H:-1|WRdNWRW:1	=>	
