abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
L-Arginine:beta-alanine ligase (AMP-forming)		cpd00002 + cpd00051 + cpd00085 <=> cpd00012 + cpd00018 + cpd03167	1281967881	ATP + Arginine + beta-Alanine <=> PPi + AMP + beta-Alanyl-L-arginine	-7.78	0.882611	|6.3.2.11	cpd00002 + cpd00051 + cpd00085 <=> cpd00012 + cpd00018 + cpd03167	rxn00661	1281967881	L-Arginine:beta-alanine ligase (AMP-forming)	master	1	=>		OK	|mid_phos:-2|Origin:-1|WCOOn:-1|WNH3:-1|WNHW:1|pyrophos:1|WketoneW:1|amide:1	=>	
beta-Alanyl-L-lysine hydrolase		cpd00001 + cpd03168 <=> cpd00039 + cpd00085	1281967881	H2O + beta-Alanyl-L-lysine <=> Lysine + beta-Alanine	-0.463	0.848213	|3.4.13.4	cpd00001 + cpd03168 <=> cpd00039 + cpd00085	rxn00660	1281967881	beta-Alanyl-L-lysine hydrolase	master	1	<=>		OK	|H2O:-1|WCOOn:1|WketoneW:-1|WNH3:1|amide:-1|WNHW:-1|Origin:1	<=>	
L-Lysine:beta-alanine ligase (AMP-forming)		cpd00002 + cpd00039 + cpd00085 <=> cpd00012 + cpd00018 + cpd03168	1281967881	ATP + Lysine + beta-Alanine <=> PPi + AMP + beta-Alanyl-L-lysine	-7.78	0.882611	|6.3.2.11	cpd00002 + cpd00039 + cpd00085 <=> cpd00012 + cpd00018 + cpd03168	rxn00659	1281967881	L-Lysine:beta-alanine ligase (AMP-forming)	master	1	=>		OK	|mid_phos:-2|Origin:-1|WCOOn:-1|WNH3:-1|pyrophos:1|WketoneW:1|amide:1|WNHW:1	=>	
N-Acetyl-beta-alanine amidohydrolase		cpd00001 + cpd00788 <=> cpd00029 + cpd00085	1281967881	H2O + N-Acetyl-beta-alanine <=> ACET + beta-Alanine	-2.003	0.984391	|3.5.1.21	cpd00001 + cpd00788 <=> cpd00029 + cpd00085	rxn00658	1281967881	N-Acetyl-beta-alanine amidohydrolase	master	1	<=>		OK	|H2O:-1|WketoneW:-1|WCH3:-1|amide:-1|WNHW:-1|acetate:1|WNH3:1	<=>	
3-Aminopropanoate:2-oxoglutarate aminotransferase		cpd00024 + cpd00085 <=> cpd00023 + cpd00191	1281967881	2-Oxoglutarate + beta-Alanine <=> GLU + 3-Oxopropanoate	-1	0.351998	|2.6.1.19|2.6.1.55	cpd00024 + cpd00085 <=> cpd00023 + cpd00191	rxn00657	1281967881	3-Aminopropanoate:2-oxoglutarate aminotransferase	master	1	<=>		OK	|WketoneW:-1|WCH2W:-1|OCCO:-1|WWCHW:1|WCHdblO:1	<=>	
BALAAT		cpd00035 + cpd00191 <=> cpd00020 + cpd00085	1281967881	ALA + 3-Oxopropanoate <=> Pyruvate + beta-Alanine	1	0.351998	|2.6.1.18	cpd00035 + cpd00191 <=> cpd00020 + cpd00085	rxn00656	1281967881	L-Alanine:3-oxopropanoate aminotransferase	master	1	<=>		OK	|WWCHW:-1|WCH2W:1|WCHdblO:-1|WketoneW:1|OCCO:1	<=>	
(beta-alanine-forming)		cpd00001 + cpd00003 + cpd01489 <=> cpd00004 + cpd00020 + cpd00085	1281967881	H2O + NAD + beta-Alanopine <=> NADH + Pyruvate + H+ + beta-Alanine	9.207	1.51055	|1.5.1.26	cpd00001 + cpd00003 + cpd01489 <=> cpd00004 + cpd00020 + cpd00067 + cpd00085	rxn00655	1281967881	N-(D-1-carboxyethyl)-beta-alanine:NAD+ oxidoreductase	master	1	<=>		OK	|H2O:-1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|Origin:1|HeteroAromatic:-1|WNH2W:-1|WWCHW:-1|RWCH2W:1|OCCO:1|H:1|WNH3:1	<=>	
UPPN		cpd00001 + cpd01720 <=> cpd00011 + cpd00013 + cpd00085	1281967881	H2O + 2 H+ + 3-Ureidopropionate <=> CO2 + NH3 + beta-Alanine	2.727	1.29616	|3.5.1.6	cpd00001 + (2) cpd00067 + cpd01720 <=> cpd00011 + cpd00013 + cpd00085	rxn00654	1281967881	N-Carbamoyl-beta-alanine amidohydrolase	master	1	<=>		OK	|H2O:-1|H:-2|WketoneW:-1|amide:-2|WNHW:-1|WNH2:-1|CO2:1|NH4plus:1|WNH3:1	=>	
L-2-Amino-3-mercaptopropionic acid racemase		cpd00084 <=> cpd00587	1281967881	L-Cysteine <=> D-Cysteine	0	2	|5.1.1.10	cpd00084 <=> cpd00587	rxn00652	1281967881	L-2-Amino-3-mercaptopropionic acid racemase	master	1	<=>		OK		<=>	
ALDD22x		cpd00004 + cpd00085 <=> cpd00001 + cpd00003 + cpd01504	1281967881	NADH + 2 H+ + beta-Alanine <=> H2O + NAD + 3-Aminopropanal	9.803	1.17612	|1.2.1.3	cpd00004 + (2) cpd00067 + cpd00085 <=> cpd00001 + cpd00003 + cpd01504	rxn00653	1281967881	beta-Aminopropion aldehyde:NAD+ oxidoreductase	master	1	<=>		OK	|RWWNW:-1|RWCHdblW:1|RWCH2W:-1|HeteroAromatic:1|H:-2|WCOOn:-1|H2O:1|WRdNWRW:1|WCHdblO:1	<=	
L-Cysteine hydrogen-sulfide-lyase (adding sulfite)		cpd00081 + cpd00084 <=> cpd00239 + cpd00395	1281967881	HSO3- + L-Cysteine <=> H2S + L-Cysteate	-3.5185	1.2034	|4.4.1.10	cpd00081 + cpd00084 <=> cpd00239 + cpd00395	rxn00651	1281967881	L-Cysteine hydrogen-sulfide-lyase (adding sulfite)	master	1	<=>		OK	|sulfite:-1|WSH:-1|H2S:1|WSO3:1	<=>	
TRIA		cpd00001 + cpd01017 <=> cpd00033 + cpd00084	1281967881	H2O + Cys-Gly <=> Gly + L-Cysteine	-0.463	0.848213	|3.4.11.2|3.4.11.1|3.4.11.23|3.4.13.3	cpd00001 + cpd01017 <=> cpd00033 + cpd00084	rxn00650	1281967881	membrane alanyl aminopeptidase	master	1	<=>		OK	|H2O:-1|WketoneW:-1|WNH3:1|WCOOn:1|amide:-1|WNHW:-1|Origin:1	<=>	
CYSS		cpd00239 + cpd00722 <=> cpd00029 + cpd00084	1281967881	H2S + O-Acetyl-L-serine <=> ACET + H+ + L-Cysteine	-12.954	1.04616	2.5.1.47|2.5.1.65|4.2.99.8	cpd00239 + cpd00722 <=> cpd00029 + cpd00067 + cpd00084	rxn00649	1281967881	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	master	1	<=>		OK	|H2S:-1|WOCOW:-1|WCH3:-1|acetate:1|H:1|WSH:1	=>	
ASPTA4		cpd00024 + cpd00084 <=> cpd00023 + cpd00706	1281967881	2-Oxoglutarate + L-Cysteine <=> GLU + Mercaptopyruvate	0	2	|2.6.1.3|2.6.1.1	cpd00024 + cpd00084 <=> cpd00023 + cpd00706	rxn00647	1281967881	L-Cysteine:2-oxoglutarate aminotransferase	master	1	<=>		OK		<=>	
GLUCYS		cpd00002 + cpd00023 + cpd00084 <=> cpd00008 + cpd00009 + cpd00506	1281967881	ATP + GLU + L-Cysteine <=> ADP + Phosphate + H+ + gamma-Glutamylcysteine	-6.354	0.856942	6.3.2.2	cpd00002 + cpd00023 + cpd00084 <=> cpd00008 + cpd00009 + cpd00067 + cpd00506	rxn00646	1281967881	L-Glutamate:L-cysteine gamma-ligase (ADP-forming)	master	1	=>		OK	|mid_phos:-1|Origin:-1|WCOOn:-1|WNH3:-1|orthophosphate:1|H:1|WketoneW:1|amide:1|WNHW:1	=>	
L-Cysteine:oxygen oxidoreductase		cpd00007 + cpd00084 <=> cpd00467	1281967881	O2 + L-Cysteine <=> H+ + 3-Sulfinoalanine	10000000	10000000	|1.13.11.20	cpd00007 + cpd00084 <=> cpd00067 + cpd00467	rxn00645	1281967881	L-Cysteine:oxygen oxidoreductase	master	1	<=>		CI:2		<=>	
