rxn_id	met_id	met_name	met_formula
EX_cpd00307_e0	cpd00307_e0	Cytosine_e0	C4H5N3O
EX_cpd15511_e0	cpd15511_e0	two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)_e0	C80H124N16O43R2
EX_cpd00277_e0	cpd00277_e0	Deoxyguanosine_e0	C10H13N5O4
EX_cpd00246_e0	cpd00246_e0	Inosine_e0	C10H12N4O5
EX_cpd00797_e0	cpd00797_e0	(R)-3-Hydroxybutanoate_e0	C4H7O3
EX_cpd00184_e0	cpd00184_e0	Thymidine_e0	C10H14N2O5
EX_cpd00367_e0	cpd00367_e0	Cytidine_e0	C9H13N3O5
EX_cpd03279_e0	cpd03279_e0	Deoxyinosine_e0	C10H12N4O4
EX_cpd00681_e0	cpd00681_e0	Choline sulfate_e0	C5H13NO4S
EX_cpd00412_e0	cpd00412_e0	Deoxyuridine_e0	C9H12N2O5
EX_cpd00249_e0	cpd00249_e0	Uridine_e0	C9H12N2O6
EX_cpd00438_e0	cpd00438_e0	Deoxyadenosine_e0	C10H13N5O3
EX_cpd00182_e0	cpd00182_e0	Adenosine_e0	C10H13N5O4
EX_cpd00266_e0	cpd00266_e0	Carnitine_e0	C7H15NO3
EX_cpd01155_e0	cpd01155_e0	Cadaverine_e0	C5H16N2
EX_cpd00395_e0	cpd00395_e0	L-Cysteate_e0	C3H6NO5S
EX_cpd00161_e0	cpd00161_e0	L-Threonine_e0	C4H9NO3
EX_cpd11575_e0	cpd11575_e0	MOPS_e0	C7H15NO4S
EX_cpd00210_e0	cpd00210_e0	Taurine_e0	C2H7NO3S
EX_cpd03198_e0	cpd03198_e0	Melibiose_e0	C12H22O11
EX_cpd01015_e0	cpd01015_e0	Cyanate_e0	CNO
EX_cpd00159_e0	cpd00159_e0	L-Lactate_e0	C3H5O3
EX_cpd00870_e0	cpd00870_e0	gamma-butyrobetaine_e0	C7H15NO2
EX_cpd00311_e0	cpd00311_e0	Guanosine_e0	C10H13N5O5
EX_cpd27384_e0	cpd27384_e0	Li+_e0	Li
EX_cpd00308_e0	cpd00308_e0	Malonate_e0	C3H2O4
EX_cpd11595_e0	cpd11595_e0	chromate_e0	H2CrO4
